category_id,category_title,sub_category_id,sub_category_title
382,"Community Infrastructure and Services",402,"Maintenance Of Crematoriums And Burial ground"
382,"Community Infrastructure and Services",404,"Maintenance Of Educational Institutions And Libraries"
382,"Community Infrastructure and Services",410,"Maintenance Of Existing Ward & Zonal Offices"
454,"Public Toilets",156,"Construction Of New Public Toilet"
454,"Public Toilets",157,"Cleaning Of Public Toilet"
454,"Public Toilets",463,"Maintenance/Repair Of Toilet Fixtures"
454,"Public Toilets",525,"Urination In Public Or Open Defecation"
454,"Public Toilets",528,"Cleaning Of Septic Tank Of Public Toilets"
464,Playgrounds,357,"Construction Of New Playground"
464,Playgrounds,361,"Maintenance Of Existing Playground"
464,Playgrounds,456,"Construction Of New Public Toilet In Playground"
464,Playgrounds,458,"Installation Of Lights In Playground"
464,Playgrounds,459,"Maintenance Of Lights In Playground"
470,"Street lighting",62,"Maintenance/Repair Of Streetlights"
470,Streetlights,62,"Maintenance/Repair Of Streetlights"
470,"Street lighting",165,"Installation Of New Streetlights"
470,Streetlights,165,"Installation Of New Streetlights"
470,"Street lighting",471,"Installation/Maintenance Of Streetlight Timer"
470,Streetlights,471,"Installation/Maintenance Of Streetlight Timer"
472,"Sewerage Systems",63,"Maintenance And Repair Of Manholes"
472,"Sewerage Systems",72,"Maintenance And Repair Of Sewage Lines"
472,"Sewerage Systems",311,"Removal Of Sewer Pipe Blockages and Overflows"
472,"Sewerage Systems",311,"Sewarage Or Storm Water Overflow"
472,"Sewerage Systems",380,"Construction of Sewage Lines"
472,"Sewerage Systems",381,"Maintenance Of Sewage Treatment Plant"
473,"Trees and Saplings",87,"Prevent Unauthorized Tree Cutting"
473,"Trees and Saplings",180,"Defacement Of Trees"
473,"Trees and Saplings",355,"Maintenance Of Trees/Saplings"
473,"Trees and Saplings",356,"Plant Saplings/Trees in your locality"
473,"Trees and Saplings",512,"Tree Guards required"
473,"Trees and Saplings",513,"Remove Unwanted Tree Guards"
478,Pension,488,Others
489,"Ration Card",496,"Ration Card - Others"
497,"EMP Grievance Redressal",498,"Gradation List"
543,"Covid 19",544,"Request for Fogging/Sanitation during Covid-19"
543,"Covid 19",545,"Violation of Quarantine during Covid-19"
543,"Covid 19",546,"Violation of Lockdown during Covid-19"
555,"Animal Catcher",511,Dog
562,"Fire Pollution",588,"Burning of garbage in open space"
564,PWD,594,"Repair of Potholes on Roads"
565,"Solid Waste Management",597,"Cleaning Of Drain"
565,"Solid Waste Management",609,"Garbage vehicle not arrived"
565,"Solid Waste Management",610,"Garbage dump"
565,"Solid Waste Management",613,"Debris removal or construction material"
637,"Waste Management",652,"Cleaning of litter bins"
640,"Parks & Garden",678,"Cleanliness of public Garden"
641,"Proibition & Sale of Tobacco products, Plastic carry bags",681,Spitting
708,"Yellow Spot",709,"1A- Address Public Urination or Yellow Spots"
708,"Yellow Spot",709,"Report A Public Urination or Yellow Spot"
708,"Yellow Spot",710,"1B- Require New Public Toilet"
708,"Yellow Spot",710,"Report A Dirty or Unusable Public Toilet"
708,"Yellow Spot",711,"1C- Repair Dirty or Unusable Public Toilet"
708,"Yellow Spot",711,"Report A Dirty or Unusable Mobile Public Toilet"
708,"Yellow Spot",712,"2A- Require New Footpath"
708,"Yellow Spot",712,"Report A Broken Footpath"
708,"Yellow Spot",713,"2B- Repair Broken Footpath"
708,"Yellow Spot",713,"Report Garbage or Debris on Footpath"
708,"Yellow Spot",714,"2C- Remove Garbage or Debris on Footpath"
708,"Yellow Spot",714,"Require A New Footpath"
708,"Yellow Spot",715,"3A- Require Playing and Gym Equipment"
708,"Yellow Spot",715,"Require A New Public Toilet"
